target	type	state	attack_type_messy	date_messy	url	year_clean
Carroll County Sheriff’s Office	Safety	Arkansas	Ransomware	December 26th, 2016	http://www.whio.com/news/arkansas-sheriff-office-hit-ransomware-pays-hackers/4GBVG8FBmJfrM7P9hkcJUM/	2016
"
Cyberattack hits Crawford County Assessors office "	Government	Arkansas	"
Unknown, Malware
"	"
December 29th, 2021
"	https://www.5newsonline.com/article/news/crime/cyber-attack-h-crawford-county-assessors-office/527-c542c32b-27aa-4127-b887-74d9282054aa	2021
"
City of Glenwood, Pike/Montgomery County
"	Government	Arkansas	"
Hacking, Ransomware
"	"
February 3rd, 2020
"	https://www.thv11.com/article/news/investigations/small-arkansas-towns-face-hacking-issues/91-dc3fe7f1-0848-4a49-a72a-e8846a9f894b	2020
Mountain Home City	Government	Arkansas	Ransomware	March 14th, 2017	https://www.baxterbulletin.com/story/news/local/2017/03/14/city-erases-re-installs-server-after-ransomware-attack/99128740/	2017
Arkansas State Website	Government	Arkansas	DDoS	February 27th, 2017	http://www.routefifty.com/tech-data/2017/02/vulnerable-50-states-cyberattack/135708/	2017
"
St. Bernards Total Life Healthcare, Craighead County
"	Medical	Arkansas	"
Unknown, Data Breach
"	"
March 15th, 2021
"	https://www.jonesborosun.com/news/data-management-company-used-by-st-bernards-hacked/article_943b8c0f-ed8c-5393-903d-9b781adf93e7.html	2021
"
Arkansas Children’s Hospital, Pulaski County
"	Medical	Arkansas	"
Unknown, Malware
"	"
March 6th, 2020
"	https://www.arkansasonline.com/news/2020/mar/06/children-s-hospital-discloses-cyberthre-1/	2020
"
Gosnell Elementary School, Mississippi County
"	Education	Arkansas	"
Unknown, Ransomware
"	"
August 26th, 2020
"	https://www.kait8.com/2020/08/25/gosnell-schools-hit-with-ransomeware-attack/	2020
Valley Springs School District	Education	Arkansas	Ransomware	January 16th, 2017	https://www.databreaches.net/no-payoff-for-hackers-arkansas-school-district-says	2017
Computers Are Down For Sebastopol Police, Sonoma County 	Safety	California	"
Unknown, Malware
"	"
July 14th, 2021
"	https://www.ksro.com/2021/07/14/computers-are-down-for-sebastopol-police/	2021
Azusa Police Suffered a Ransomware Attack. City Kept It a Secret. 	Safety	California	"
Unknown, Ransomware
"	"
June 3rd, 2021
"	https://www.latimes.com/california/story/2021-06-03/azusa-ransomware-attack-2018-kept-secret/	2021
Azusa Police Computers Hit by Ransomware Attack	Safety	California	"
Unknown, Ransomware
"	"
May 28th, 2021
"	https://www.sgvtribune.com/2021/05/28/azusa-police-computers-hit-by-ransomware-attack/	2021
"
San Diego Law Enforcement Coordination Center, State of California
"	Safety	California	"
Hacking, Data Breach
"	"
November 24th, 2020
"	https://www.cbs8.com/article/news/investigations/blueleaks-san-diego-fusion-centers-records-hacked-posted-online/509-252178ff-947f-4fe7-85ae-b7529d397d76	2020
"
The Joint Regional Intelligence Center, Los Angeles County
"	Safety	California	"
Hacking, Data Breach
"	"
June 22nd, 2020
"	https://www.wired.com/story/blueleaks-anonymous-law-enforcement-hack/	2020
" 
Union City Government Systems, Alameda County
"	Safety	California	"
Unknown, Malware
"	" 
September 23rd, 2019
"	https://abc7news.com/virus-forces-union-city-to-shut-down-computer-system;-online-services-down-several-days/5561928/	2019
" 
City of Lodi & Lodi Police Department, San Joaquin County 
"	Safety	California	"
Phishing, Ransomware 
"	" 
July 31st, 2019 
"	https://www.govtech.com/security/Lodi-Calif-Confirms-Ransomware-Behind-Computer-Troubles.html	2019
" 
City of Los Angeles Personnel Department, Los Angeles County 
"	Safety	California	"
Hacking, Data Breach 
"	" 
July 29th, 2019 
"	https://www.nbclosangeles.com/news/local/LAPD-Police-Officers-Personal-Information-Stolen-Data-Breach-513340401.html	2019
 City of Banning & Banning Police Department, Riverside County 	Safety	California	Unknown, Ransomware 	 May 3rd, 2019 	https://www.recordgazette.net/news/hackers-lay-siege-to-banning-paralyzes-city-services/article_3fce9f5e-6d23-11e9-8376-b3faf75c2ce2.html	2019
Port of San Diego & San Diego Harbor Police Department, San Diego County	Safety	California	Ransomware	September 26th, 2018	http://www.sandiegouniontribune.com/business/growth-development/sd-fi-port-cyberattack-20180926-story.html	2018
San Benito Government & Public Safety Systems, San Benito County	Safety	California	Malware	August 29th, 2018	https://benitolink.com/news/malware-brings-county-computers-down-over-week	2018
Calaveras Co. & Sheriff's Office	Safety	California	Hack	June 28th, 2017	https://www.timesunion.com/bayarea/article/Calaveras-County-website-hacked-apparently-by-11254651.php	2017
"
Sacramento County: Hundreds of personal records exposed in data breach, Sacramento County
"	Government	California	"
Phishing, Data Breach
"	"
January 21st, 2022
"	https://fox40.com/news/local-news/sacramento-county-hundreds-of-personal-records-exposed-in-data-breach/	2022
"
County Administrator addresses cyber attack: DA offers tips to the public to safeguard financial data, Plumas County
"	Government	California	"
Phishing, Malware
"	"
November 18th, 2021
"	https://www.plumasnews.com/county-administrator-addresses-cyber-attack-da-offers-tips-to-the-public-to-safeguard-financial-data/	2021
 Truckee town manager gives update on cyberattack, Nevada County 	Government	California	"
Phishing, Malware
"	"
September 30th, 2021"	https://www.sierrasun.com/news/truckee-town-manager-gives-update-on-cyberattack/	2021
 Harbor District fends off ransomware attempt, San Mateo County 	Government	California	"
Unknown, Ransomware
"	"
September 22nd, 2021
"	https://www.hmbreview.com/news/harbor-district-fends-off-ransomware-attempt/article_4d2c8adc-1bbb-11ec-a1b5-93db74bcf797.html	2021
Grass Valley Cyberattack Had 'Minimal Impact' City Says 	Government	California	"
Hacking, Ransomware
"	"
July 28th, 2021
"	https://fox40.com/news/local-news/grass-valley-cyberattack-had-minimal-impact-city-says/	2021
$1.2 Million Stolen From Sebastopol Reserves Through Fraudulent Wire Transfer 	Government	California	"
Phishing, Other
"	"
July 16th, 2021
"	https://www.pressdemocrat.com/article/news/1-2-millions-stolen-from-sebastopol-city-reserves-through-fraudulent-wire/	2021
Hacker Attempt to Poison Water Supply in San Francisco Bay Area	Government	California	"
Hacking
"	"
June 17th, 2021
"	https://www.nbcnews.com/tech/security/hacker-tried-poison-calif-water-supply-was-easy-entering-password-rcna1206/	2021
California City Computer System Down for Weeks In Ransomware Attack	Government	California	"
Unknown, Ransomware
"	"
June 16th, 2021
"	https://www.kget.com/news/local-news/california-city-computer-system-down-for-weeks-in-ransomware-attack-mayor/	2021
Sacramento City Suffers from Data breach on ParkMobile App	Government	California	"
Hacking, Data Breach
"	"
May 21st, 2021
"	https://www.abc10.com/article/news/local/sacramento/sacramento-officials-warn-data-breach-parkmobile-app/103-af546a35-1dfa-4715-beed-2ab79472f83f	2021
"
Santa Clara Valley Transportation Authority, Santa Clara County
"	Government	California	"
Unknown, Ransomware
"	"
April 22nd, 2021
"	https://patch.com/california/losgatos/vta-hit-cyberattack-unclear-if-personal-info-breached-report	2021
"
El Monte City Hall servers, Los Angeles County
"	Government	California	"
Unknown, Malware
"	"
April 6th, 2021
"	https://www.sgvtribune.com/2021/04/06/servers-at-el-monte-city-hall-being-replaced-investigation-of-unauthorized-access-continues/	2021
"
CA DMV Vendor-Automatic Funds Transfer, State of California
"	Government	California	"
Unknown, Ransomware
"	"
February 17th, 2021
"	https://www.kcra.com/article/dmv-halts-data-transfers-company-security-breach/35543321	2021
"
Yuba County
"	Government	California	"
Unknown, Ransomware
"	"
February 19th, 2021
"	https://news.yahoo.com/yuba-county-subject-ransomware-cyber-050100505.html	2021
"
City of Shafter, Kern County
"	Government	California	"
Unknown, Ransomware
"	"
October 20th, 2020
"	https://www.turnto23.com/news/local-news/city-of-shafter-hit-with-ransomware-attack	2020
"
Madera County’s Court Website, Madera County
"	Government	California	" 
Hacking, Other
"	" 
July 6th, 2020
"	https://abc30.com/porn-website-madera-county-hack/6303176/	2020
"
San Francisco Employee's Retirement System, San Francisco County
"	Government	California	"
Data Breach, Unknown
"	"
June 3rd, 2020
"	https://www.bleepingcomputer.com/news/security/san-francisco-retirement-program-sfers-suffers-data-breach/	2020
"
San Francisco International Airport, San Francisco County
"	Government	California	"
Hacking, Data Breach
"	"
April 10th, 2020
"	https://www.bleepingcomputer.com/news/security/san-francisco-intl-airport-discloses-data-breach-after-hack/	2020
"
City of Torrance, Los Angeles County
"	Government	California	"
Unknown, Malware
"	"
March 2nd, 2020
"	https://abc7.com/5978361/	2020
"
Los Angeles County Government Systems, Los Angeles County
"	Government	California	"
Phishing, Malware
"	"
January 10th, 2020
"	https://www.techwire.net/news/no-services-disrupted-in-la-county-phishing-attack.html	2020
"
Contra Costa County Library & County Administrative Offices, Contra Costa County
"	Government	California	"
Unknown, Ransomware
"	"
January 3rd, 2020
"	https://ccclib.org/news/library-services-impacted-by-cyber-security-attack/	2020
"
City of Seal Beach, Orange County
"	Government	California	"
Unknown, Ransomware
"	"
December 31st, 2019
"	https://www.sunnews.org/city-of-seal-beach-victim-of-ransomware-attack/	2019
"
Fresno County & Fresno Council Of Governments (COG), Fresno County
"	Government	California	"
Hacking, Ransomware
"	"
December 12th, 2019
"	https://gvwire.com/2019/12/12/fresno-cog-recovers-from-catastrophic-cyber-attack/	2019
"
City of Galt, Sacramento County
"	Government	California	"
Unknown, Ransomware
"	"
December 17th, 2019
"	https://sacramento.cbslocal.com/2019/12/17/galt-ransomware-hackers-attack/	2019
" 
Cucamonga Valley Water District, San Bernardino County 
"	Government	California	"
Hacking, Data Breach 
"	" 
December 6th, 2019 
"	https://www.databreaches.net/cucamonga-valley-water-district-discloses-click2gov-breach/	2019
"
City of San Marcos, San Diego County
"	Government	California	"
Hacking, Malware
"	"
October 29th, 2019
"	https://www.nbcsandiego.com/news/local/San-Marcos-City-Hall-Computer-System-Email-Hack-Cyber-Attack-Emergency-Services-564084871.html	2019
"City of Livermore, Alameda County
"	Government	California	"
Unknown, Malware 
"	"
August 28th, 2019 
"	https://patch.com/california/livermore/virus-sends-fake-emails-city-hall-livermore-residents	
" 
California Reimbursement Enterprises, Los Angeles County
"	Government	California	"
Phishing, Data Breach
"	" 
July 10th, 2019
"	https://healthitsecurity.com/news/phishing-attack-on-california-vendor-breaches-data-of-14500-patients?eid=CXTEL000000458511&elqCampaignId=10535&utm_source=nl&utm_medium=email&utm_campaign=newsletter&elqTrackId=6e0d717439104168ae9ac54621a03fc9&elq=d76179984a3e47849a4f3f0df317f3cf&elqaid=11043&elqat=1&elqCampaignId=10535	2019
" 
City of Bakersfield, Kern County
"	Government	California	"
Hacking, Data Breach 
"	" 
September 19th, 2019
"	https://geminiadvisory.io/second-wave-of-click2gov-breaches-hits-united-states/	2019
 Contra Costa County Elections Office, Contra Costa Co. 	Government	California	Phishing, Ransomware 	 April 24th, 2019 	https://www.mercurynews.com/2019/04/24/russian-election-hacking-california-contra-costa-county/	2019
 Imperial County Website System, Imperial County 	Government	California	Unknown, Ransomware 	 April 19th, 2019 	https://www.latimes.com/local/lanow/la-me-imperial-county-website-down-20190418-story.html	2019
 Orange County Sanitation District, Orange County 	Government	California	Phishing, Data Breach 	 March 11th, 2019 	https://www.ocregister.com/2019/03/11/personal-data-for-1000-pensioners-accessed-from-oc-sanitation-district/	2019
California Department of Consumer Affairs	Government	California	Malware	December 21st, 2018 	https://www.sacbee.com/news/politics-government/article223439825.html	2018
City of Bakersfield, Kern County	Government	California	Other, Data Breach	November 12th, 2018	https://www.bakersfield.com/news/city-of-bakersfield-announces-data-breach-from-hacked-click-gov/article_753d61ba-e6d3-11e8-a527-8316ecef574f.html	2018
City of Thousand Oaks, Ventura County	Government	California	Other, Data Breach	November 8th, 2018	https://www.toacorn.com/articles/citys-online-payment-system-falls-victim-to-hackers/	2018
