destination,year,attacks
AUT,2014.42,24
AUT,2014.5,18
AUT,2014.58,248
AUT,2014.67,204
AUT,2014.75,312
AUT,2014.83,286
AUT,2014.92,20
AUT,2015,181
AUT,2015.08,106
AUT,2015.17,199
AUT,2015.25,89
AUT,2015.33,192
AUT,2015.42,577
AUT,2015.5,233
AUT,2015.58,253
AUT,2015.67,989
AUT,2015.75,197
AUT,2015.83,282
AUT,2015.92,291
AUT,2016,242
AZE,2013.42,0
AZE,2013.5,0
AZE,2013.58,0
AZE,2013.67,0
AZE,2013.75,0
AZE,2013.83,2
AZE,2013.92,0
AZE,2014,0
AZE,2014.08,0
AZE,2014.17,0
AZE,2014.25,0
AZE,2014.33,0
AZE,2014.42,0
AZE,2014.5,200
AZE,2014.58,164
AZE,2014.67,0
AZE,2014.75,0
AZE,2014.83,0
AZE,2014.92,0
AZE,2015,0
AZE,2015.08,0
AZE,2015.17,0
AZE,2015.25,20
AZE,2015.33,27
AZE,2015.42,101
AZE,2015.5,101
AZE,2015.58,0
AZE,2015.67,306
AZE,2015.75,0
AZE,2015.83,423
AZE,2015.92,0
AZE,2016,203
BEL,2013.42,142
BEL,2013.5,112
BEL,2013.58,22
BEL,2013.67,10
BEL,2013.75,92
BEL,2013.83,96
BEL,2013.92,14
BEL,2014,68
BEL,2014.08,266
BEL,2014.17,102
BEL,2014.25,148
BEL,2014.33,10
BEL,2014.42,18
BEL,2014.5,114
BEL,2014.58,32
BEL,2014.67,226
BEL,2014.75,150
BEL,2014.83,470
BEL,2014.92,108
BEL,2015,299
BEL,2015.08,89
BEL,2015.17,103
BEL,2015.25,25
BEL,2015.33,30
BEL,2015.42,66
BEL,2015.5,228
BEL,2015.58,106
BEL,2015.67,485
BEL,2015.75,99
BEL,2015.83,1
BEL,2015.92,0
BEL,2016,0
BEN,2013.42,0
BEN,2013.5,2
BEN,2013.58,0
BEN,2013.67,0
BEN,2013.75,0
BEN,2013.83,12
BEN,2013.92,0
BEN,2014,0
BEN,2014.08,0
BEN,2014.17,0
BEN,2014.25,0
BEN,2014.33,0
BEN,2014.42,4
BEN,2014.5,0
BEN,2014.58,0
BEN,2014.67,0
BEN,2014.75,0
BEN,2014.83,0
BEN,2014.92,0
BEN,2015,0
BEN,2015.08,0
BEN,2015.17,0
BEN,2015.25,0
BEN,2015.33,0
BEN,2015.42,0
BEN,2015.5,0
BEN,2015.58,0
BEN,2015.67,0
BEN,2015.75,0
BEN,2015.83,101
BEN,2015.92,0
BEN,2016,6
BES,2013.42,0
BES,2013.5,0
BES,2013.58,0
BES,2013.67,0
BES,2013.75,0
BES,2013.83,0
BES,2013.92,0
BES,2014,0
BES,2014.08,0
BES,2014.17,0
BES,2014.25,20
BES,2014.33,0
BES,2014.42,0
BES,2014.5,0
BES,2014.58,0
BES,2014.67,0
BES,2014.75,0
BES,2014.83,0
BES,2014.92,0
BES,2015,0
BES,2015.08,0
BES,2015.17,0
BES,2015.25,0
BES,2015.33,0
BES,2015.42,0
BES,2015.5,0
BES,2015.58,0
BES,2015.67,0
BES,2015.75,0
BES,2015.83,0
BES,2015.92,0
BES,2016,0
BFA,2013.42,0
BFA,2013.5,0
BFA,2013.58,0
BFA,2013.67,0
BFA,2013.75,0
BFA,2013.83,0
BFA,2013.92,0
BFA,2014,0
BFA,2014.08,0
BFA,2014.17,0
BFA,2014.25,0
BFA,2014.33,0
BFA,2014.42,0
BFA,2014.5,0
BFA,2014.58,0
BFA,2014.67,0
BFA,2014.75,0
BFA,2014.83,0
BFA,2014.92,0
BFA,2015,0
BFA,2015.08,0
BFA,2015.17,0
BFA,2015.25,20
BFA,2015.33,0
BFA,2015.42,38
BFA,2015.5,0
BFA,2015.58,0
BFA,2015.67,0
BFA,2015.75,0
BFA,2015.83,0
BFA,2015.92,0
BFA,2016,0
BGD,2013.42,0
BGD,2013.5,0
BGD,2013.58,0
BGD,2013.67,0
BGD,2013.75,0
BGD,2013.83,0
BGD,2013.92,0
BGD,2014,0
BGD,2014.08,0
BGD,2014.17,0
BGD,2014.25,0
BGD,2014.33,28
BGD,2014.42,4
BGD,2014.5,0
BGD,2014.58,30
BGD,2014.67,12
BGD,2014.75,14
BGD,2014.83,66
BGD,2014.92,156
BGD,2015,161
BGD,2015.08,171
BGD,2015.17,0
BGD,2015.25,161
BGD,2015.33,303
BGD,2015.42,15
BGD,2015.5,150
BGD,2015.58,17
BGD,2015.67,70
BGD,2015.75,203
BGD,2015.83,19
BGD,2015.92,46
BGD,2016,23
BGR,2013.42,0
BGR,2013.5,0
BGR,2013.58,0
BGR,2013.67,10
BGR,2013.75,32
BGR,2013.83,190
BGR,2013.92,0
BGR,2014,0
BGR,2014.08,2
BGR,2014.17,128
BGR,2014.25,44
BGR,2014.33,0
BGR,2014.42,2
BGR,2014.5,2
BGR,2014.58,366
BGR,2014.67,188
BGR,2014.75,0
BGR,2014.83,8
BGR,2014.92,98
BGR,2015,261
BGR,2015.08,149
BGR,2015.17,200
BGR,2015.25,236
BGR,2015.33,71
BGR,2015.42,185
BGR,2015.5,340
BGR,2015.58,0
BGR,2015.67,3
BGR,2015.75,207
BGR,2015.83,0
BGR,2015.92,0
BGR,2016,40
BHR,2013.42,0
BHR,2013.5,0
BHR,2013.58,0
BHR,2013.67,0
BHR,2013.75,0
BHR,2013.83,0
BHR,2013.92,0
BHR,2014,0
BHR,2014.08,0
BHR,2014.17,0
BHR,2014.25,10
BHR,2014.33,0
BHR,2014.42,0
BHR,2014.5,24
BHR,2014.58,0
BHR,2014.67,66
BHR,2014.75,0
BHR,2014.83,94
BHR,2014.92,50
BHR,2015,16
BHR,2015.08,0
BHR,2015.17,7
BHR,2015.25,14
BHR,2015.33,0
BHR,2015.42,45
BHR,2015.5,7
BHR,2015.58,20
BHR,2015.67,109
BHR,2015.75,23
BHR,2015.83,86
BHR,2015.92,78
BHR,2016,102
BHS,2013.42,0
BHS,2013.5,0
BHS,2013.58,12
BHS,2013.67,0
BHS,2013.75,0
BHS,2013.83,6
BHS,2013.92,0
BHS,2014,0
BHS,2014.08,0
BHS,2014.17,0
BHS,2014.25,0
BHS,2014.33,0
BHS,2014.42,40
BHS,2014.5,0
BHS,2014.58,16
BHS,2014.67,18
BHS,2014.75,20
BHS,2014.83,0
BHS,2014.92,16
BHS,2015,0
BHS,2015.08,0
BHS,2015.17,0
BHS,2015.25,0
BHS,2015.33,0
BHS,2015.42,0
BHS,2015.5,0
BHS,2015.58,0
BHS,2015.67,0
BHS,2015.75,104
BHS,2015.83,0
BHS,2015.92,0
BHS,2016,0
BIH,2013.42,0
BIH,2013.5,0
BIH,2013.58,78
BIH,2013.67,280
BIH,2013.75,64
BIH,2013.83,200
BIH,2013.92,58
BIH,2014,178
BIH,2014.08,20
BIH,2014.17,62
BIH,2014.25,76
BIH,2014.33,58
BIH,2014.42,6
BIH,2014.5,120
BIH,2014.58,240
BIH,2014.67,102
BIH,2014.75,544
BIH,2014.83,310
BIH,2014.92,304
BIH,2015,70
BIH,2015.08,80
BIH,2015.17,120
BIH,2015.25,206
BIH,2015.33,2
BIH,2015.42,0
BIH,2015.5,873
BIH,2015.58,376
BIH,2015.67,302
BIH,2015.75,190
BIH,2015.83,553
BIH,2015.92,800
BIH,2016,1035
BLR,2013.42,0
BLR,2013.5,0
BLR,2013.58,0
BLR,2013.67,0
BLR,2013.75,0
BLR,2013.83,2
BLR,2013.92,0
BLR,2014,0
BLR,2014.08,0
BLR,2014.17,66
BLR,2014.25,156
BLR,2014.33,84
BLR,2014.42,0
BLR,2014.5,0
BLR,2014.58,8
BLR,2014.67,0
BLR,2014.75,266
BLR,2014.83,528
BLR,2014.92,40
BLR,2015,2318
BLR,2015.08,8
BLR,2015.17,49
BLR,2015.25,0
BLR,2015.33,7
BLR,2015.42,0
BLR,2015.5,1
BLR,2015.58,0
BLR,2015.67,0
BLR,2015.75,35
BLR,2015.83,0
BLR,2015.92,0
BLR,2016,9
BLZ,2013.42,10
BLZ,2013.5,0
BLZ,2013.58,72
BLZ,2013.67,206
BLZ,2013.75,468
BLZ,2013.83,150
BLZ,2013.92,92
BLZ,2014,286
BLZ,2014.08,400
BLZ,2014.17,40
BLZ,2014.25,0
BLZ,2014.33,238
BLZ,2014.42,146
BLZ,2014.5,0
BLZ,2014.58,4
BLZ,2014.67,118
BLZ,2014.75,0
BLZ,2014.83,12
BLZ,2014.92,124
BLZ,2015,207
BLZ,2015.08,68
BLZ,2015.17,54
BLZ,2015.25,60
BLZ,2015.33,29
BLZ,2015.42,51
BLZ,2015.5,15
BLZ,2015.58,0
BLZ,2015.67,0
BLZ,2015.75,10
BLZ,2015.83,0
BLZ,2015.92,0
BLZ,2016,37
BMU,2013.42,0
BMU,2013.5,0
BMU,2013.58,0
BMU,2013.67,0
BMU,2013.75,0
BMU,2013.83,0
BMU,2013.92,0
BMU,2014,0
BMU,2014.08,0
BMU,2014.17,0
BMU,2014.25,0
BMU,2014.33,0
BMU,2014.42,0
BMU,2014.5,0
BMU,2014.58,0
BMU,2014.67,0
BMU,2014.75,0
BMU,2014.83,0
BMU,2014.92,4
BMU,2015,1
BMU,2015.08,0
BMU,2015.17,0
BMU,2015.25,0
BMU,2015.33,16
BMU,2015.42,0
BMU,2015.5,0
BMU,2015.58,0
BMU,2015.67,0
BMU,2015.75,0
BMU,2015.83,0
BMU,2015.92,0
BMU,2016,0
BOL,2013.42,0
BOL,2013.5,0
BOL,2013.58,0
BOL,2013.67,0
BOL,2013.75,0
BOL,2013.83,16
BOL,2013.92,2
BOL,2014,12
BOL,2014.08,0
BOL,2014.17,0
BOL,2014.25,0
BOL,2014.33,0
BOL,2014.42,0
BOL,2014.5,0
BOL,2014.58,0
BOL,2014.67,0
BOL,2014.75,0
BOL,2014.83,0
BOL,2014.92,4
BOL,2015,0
BOL,2015.08,0
BOL,2015.17,0
BOL,2015.25,0
BOL,2015.33,0
BOL,2015.42,0
BOL,2015.5,0
BOL,2015.58,22
BOL,2015.67,0
BOL,2015.75,3
BOL,2015.83,0
BOL,2015.92,0
BOL,2016,0
BRA,2013.42,214
BRA,2013.5,188
BRA,2013.58,598
BRA,2013.67,606
BRA,2013.75,504
BRA,2013.83,206
BRA,2013.92,176
BRA,2014,334
BRA,2014.08,782
BRA,2014.17,344
BRA,2014.25,412
BRA,2014.33,370
BRA,2014.42,252
BRA,2014.5,316
BRA,2014.58,62
BRA,2014.67,142
BRA,2014.75,173
BRA,2014.83,178
BRA,2014.92,212
BRA,2015,106
BRA,2015.08,56
BRA,2015.17,304
BRA,2015.25,293
BRA,2015.33,198
BRA,2015.42,767
BRA,2015.5,271
BRA,2015.58,402
BRA,2015.67,1260
BRA,2015.75,1427
BRA,2015.83,362
BRA,2015.92,802
BRA,2016,560
BRB,2013.42,0
BRB,2013.5,0
BRB,2013.58,0
BRB,2013.67,0
BRB,2013.75,0
BRB,2013.83,0
BRB,2013.92,0
BRB,2014,0
BRB,2014.08,0
BRB,2014.17,0
BRB,2014.25,0
BRB,2014.33,0
BRB,2014.42,0
BRB,2014.5,0
BRB,2014.58,0
BRB,2014.67,8
BRB,2014.75,6
BRB,2014.83,4
BRB,2014.92,4
BRB,2015,1
BRB,2015.08,0
BRB,2015.17,4
BRB,2015.25,0
BRB,2015.33,0
BRB,2015.42,0
BRB,2015.5,0
BRB,2015.58,1
BRB,2015.67,0
BRB,2015.75,0
BRB,2015.83,0
BRB,2015.92,0
BRB,2016,0
BRN,2013.42,0
BRN,2013.5,4
BRN,2013.58,34
BRN,2013.67,66
BRN,2013.75,134
BRN,2013.83,4
BRN,2013.92,0
BRN,2014,0
BRN,2014.08,0
BRN,2014.17,8
BRN,2014.25,0
BRN,2014.33,0
BRN,2014.42,2
BRN,2014.5,0
BRN,2014.58,0
BRN,2014.67,0
BRN,2014.75,0
BRN,2014.83,0
BRN,2014.92,0
BRN,2015,0
BRN,2015.08,0
BRN,2015.17,0
BRN,2015.25,0
BRN,2015.33,0
BRN,2015.42,4
BRN,2015.5,0
BRN,2015.58,0
BRN,2015.67,0
BRN,2015.75,0
BRN,2015.83,0
BRN,2015.92,0
BRN,2016,0
BWA,2013.42,0
BWA,2013.5,0
BWA,2013.58,0
BWA,2013.67,0
BWA,2013.75,0
BWA,2013.83,0
BWA,2013.92,0
BWA,2014,0
BWA,2014.08,0
BWA,2014.17,0
BWA,2014.25,0
BWA,2014.33,0
BWA,2014.42,0
BWA,2014.5,0
BWA,2014.58,0
BWA,2014.67,0
BWA,2014.75,0
BWA,2014.83,0
BWA,2014.92,0
BWA,2015,0
BWA,2015.08,0
BWA,2015.17,51
BWA,2015.25,69
BWA,2015.33,115
BWA,2015.42,20
BWA,2015.5,0
BWA,2015.58,0
BWA,2015.67,0
BWA,2015.75,76
BWA,2015.83,0
BWA,2015.92,0
BWA,2016,0
CAN,2013.42,36
CAN,2013.5,74
CAN,2013.58,62
CAN,2013.67,48
CAN,2013.75,96
CAN,2013.83,138
CAN,2013.92,82
CAN,2014,186
CAN,2014.08,548
CAN,2014.17,1106
CAN,2014.25,292
CAN,2014.33,114
CAN,2014.42,80
CAN,2014.5,326
CAN,2014.58,408
CAN,2014.67,560
CAN,2014.75,330
CAN,2014.83,1538
CAN,2014.92,1500
CAN,2015,524
CAN,2015.08,493
CAN,2015.17,450
CAN,2015.25,804
CAN,2015.33,877
CAN,2015.42,1279
CAN,2015.5,670
CAN,2015.58,396
CAN,2015.67,629
CAN,2015.75,720
CAN,2015.83,220
CAN,2015.92,386
CAN,2016,747
CHE,2013.42,0
CHE,2013.5,0
CHE,2013.58,0
CHE,2013.67,4
CHE,2013.75,4
CHE,2013.83,4
CHE,2013.92,2
CHE,2014,8
CHE,2014.08,82
CHE,2014.17,26
CHE,2014.25,10
CHE,2014.33,22
CHE,2014.42,88
CHE,2014.5,36
CHE,2014.58,134
CHE,2014.67,56
CHE,2014.75,68
CHE,2014.83,26
CHE,2014.92,34
CHE,2015,119
CHE,2015.08,106
CHE,2015.17,151
CHE,2015.25,414
CHE,2015.33,235
CHE,2015.42,74
CHE,2015.5,256
CHE,2015.58,155
CHE,2015.67,609
CHE,2015.75,446
CHE,2015.83,44
CHE,2015.92,21
CHE,2016,37
CHL,2013.42,2
CHL,2013.5,34
CHL,2013.58,4
CHL,2013.67,4
CHL,2013.75,6
CHL,2013.83,4
CHL,2013.92,4
CHL,2014,0
CHL,2014.08,0
CHL,2014.17,4
CHL,2014.25,4
CHL,2014.33,128
CHL,2014.42,62
CHL,2014.5,12
CHL,2014.58,10
CHL,2014.67,8
CHL,2014.75,100
CHL,2014.83,66
CHL,2014.92,38
CHL,2015,50
CHL,2015.08,42
CHL,2015.17,47
CHL,2015.25,19
CHL,2015.33,2
CHL,2015.42,35
CHL,2015.5,72
CHL,2015.58,374
CHL,2015.67,203
CHL,2015.75,289
CHL,2015.83,97
CHL,2015.92,98
CHL,2016,53
CHN,2013.42,1374
CHN,2013.5,2878
CHN,2013.58,2314
CHN,2013.67,1238
CHN,2013.75,979
CHN,2013.83,1280
CHN,2013.92,1634
CHN,2014,1744
CHN,2014.08,2197
CHN,2014.17,2260
CHN,2014.25,740
CHN,2014.33,154
CHN,2014.42,660
CHN,2014.5,1600
CHN,2014.58,1358
CHN,2014.67,1016
CHN,2014.75,827
CHN,2014.83,958
CHN,2014.92,1164
CHN,2015,1368
CHN,2015.08,514
CHN,2015.17,656
CHN,2015.25,1262
CHN,2015.33,1070
CHN,2015.42,1282
CHN,2015.5,712
CHN,2015.58,38
CHN,2015.67,365
CHN,2015.75,698
CHN,2015.83,228
CHN,2015.92,260
CHN,2016,1182
CIV,2013.42,32
CIV,2013.5,44
CIV,2013.58,6
CIV,2013.67,10
CIV,2013.75,34
CIV,2013.83,56
CIV,2013.92,12
CIV,2014,46
CIV,2014.08,4
CIV,2014.17,16
CIV,2014.25,16
CIV,2014.33,0
CIV,2014.42,8
CIV,2014.5,40
CIV,2014.58,12
CIV,2014.67,0
CIV,2014.75,26
CIV,2014.83,20
CIV,2014.92,22
CIV,2015,24
CIV,2015.08,17
CIV,2015.17,47
CIV,2015.25,7
CIV,2015.33,71
CIV,2015.42,17
CIV,2015.5,0
CIV,2015.58,1
CIV,2015.67,68
CIV,2015.75,1
CIV,2015.83,292
CIV,2015.92,1
CIV,2016,321
CMR,2013.42,0
CMR,2013.5,0
CMR,2013.58,0
CMR,2013.67,0
CMR,2013.75,0
CMR,2013.83,0
CMR,2013.92,0
CMR,2014,0
CMR,2014.08,0
CMR,2014.17,0
CMR,2014.25,0
CMR,2014.33,0
CMR,2014.42,0
CMR,2014.5,0
CMR,2014.58,0
CMR,2014.67,2
CMR,2014.75,0
CMR,2014.83,0
CMR,2014.92,0
CMR,2015,3
CMR,2015.08,0
CMR,2015.17,0
CMR,2015.25,3
CMR,2015.33,0
CMR,2015.42,98
CMR,2015.5,0
CMR,2015.58,0
CMR,2015.67,0
CMR,2015.75,2
CMR,2015.83,0
CMR,2015.92,0
CMR,2016,0
COD,2013.42,0
COD,2013.5,0
COD,2013.58,0
COD,2013.67,0
COD,2013.75,0
COD,2013.83,0
COD,2013.92,0
COD,2014,0
COD,2014.08,0
COD,2014.17,0
COD,2014.25,0
COD,2014.33,0
COD,2014.42,0
COD,2014.5,0
COD,2014.58,0
COD,2014.67,0
COD,2014.75,0
COD,2014.83,0
COD,2014.92,0
COD,2015,0
COD,2015.08,0
COD,2015.17,92
COD,2015.25,0
COD,2015.33,0
COD,2015.42,12
COD,2015.5,0
COD,2015.58,0
COD,2015.67,229
COD,2015.75,0
COD,2015.83,0
COD,2015.92,210
COD,2016,1154
COG,2013.42,0
COG,2013.5,0
COG,2013.58,0
COG,2013.67,0
COG,2013.75,0
COG,2013.83,0
COG,2013.92,0
COG,2014,0
COG,2014.08,0
COG,2014.17,0
COG,2014.25,0
COG,2014.33,0
COG,2014.42,0
COG,2014.5,0
COG,2014.58,0
COG,2014.67,0
COG,2014.75,0
COG,2014.83,0
COG,2014.92,0
COG,2015,0
COG,2015.08,0
COG,2015.17,42
COG,2015.25,20
COG,2015.33,27
COG,2015.42,38
COG,2015.5,0
COG,2015.58,0
COG,2015.67,0
COG,2015.75,2
COG,2015.83,0
COG,2015.92,0
COG,2016,0
COL,2013.42,124
COL,2013.5,76
COL,2013.58,276
COL,2013.67,188
COL,2013.75,406
COL,2013.83,204
COL,2013.92,98
COL,2014,542
COL,2014.08,636
COL,2014.17,368
COL,2014.25,64
COL,2014.33,0
COL,2014.42,34
COL,2014.5,30
COL,2014.58,28
COL,2014.67,96
COL,2014.75,92
COL,2014.83,52
COL,2014.92,104
COL,2015,22
COL,2015.08,35
COL,2015.17,28
COL,2015.25,24
COL,2015.33,8
COL,2015.42,37
COL,2015.5,34
COL,2015.58,0
COL,2015.67,7
COL,2015.75,36
COL,2015.83,4
COL,2015.92,0
COL,2016,0
CRI,2013.42,0
CRI,2013.5,22
CRI,2013.58,160
CRI,2013.67,168
CRI,2013.75,0
CRI,2013.83,150
CRI,2013.92,0
CRI,2014,26
CRI,2014.08,254
CRI,2014.17,62
CRI,2014.25,78
CRI,2014.33,150
CRI,2014.42,34
CRI,2014.5,64
CRI,2014.58,0
CRI,2014.67,86
CRI,2014.75,146
CRI,2014.83,30
CRI,2014.92,0
CRI,2015,53
CRI,2015.08,160
CRI,2015.17,36
CRI,2015.25,106
CRI,2015.33,9
CRI,2015.42,105
CRI,2015.5,4
CRI,2015.58,289
CRI,2015.67,202
CRI,2015.75,60
CRI,2015.83,41
CRI,2015.92,155
CRI,2016,374
CUW,2013.42,0
CUW,2013.5,36
CUW,2013.58,0
CUW,2013.67,0
CUW,2013.75,0
CUW,2013.83,10
CUW,2013.92,30
CUW,2014,0
CUW,2014.08,8
CUW,2014.17,36
CUW,2014.25,118
CUW,2014.33,148
CUW,2014.42,36
CUW,2014.5,32
CUW,2014.58,0
CUW,2014.67,0
CUW,2014.75,0
CUW,2014.83,40
CUW,2014.92,140
CUW,2015,7
CUW,2015.08,0
CUW,2015.17,1
CUW,2015.25,2
CUW,2015.33,0
CUW,2015.42,0
CUW,2015.5,6
CUW,2015.58,0
CUW,2015.67,0
CUW,2015.75,147
CUW,2015.83,2
CUW,2015.92,0
CUW,2016,0
CYM,2013.42,0
CYM,2013.5,0
CYM,2013.58,0
CYM,2013.67,0
CYM,2013.75,0
CYM,2013.83,0
CYM,2013.92,0
CYM,2014,6
CYM,2014.08,0
CYM,2014.17,0
CYM,2014.25,0
CYM,2014.33,0
CYM,2014.42,0
CYM,2014.5,22
CYM,2014.58,0
CYM,2014.67,0
CYM,2014.75,4
CYM,2014.83,0
CYM,2014.92,0
CYM,2015,2
CYM,2015.08,0
CYM,2015.17,0
CYM,2015.25,0
CYM,2015.33,0
CYM,2015.42,10
CYM,2015.5,0
CYM,2015.58,1
CYM,2015.67,0
CYM,2015.75,0
CYM,2015.83,0
CYM,2015.92,1
CYM,2016,0
CYP,2013.42,6
CYP,2013.5,16
CYP,2013.58,0
CYP,2013.67,0
CYP,2013.75,38
CYP,2013.83,4
CYP,2013.92,18
CYP,2014,0
CYP,2014.08,0
CYP,2014.17,10
CYP,2014.25,0
CYP,2014.33,0
CYP,2014.42,0
CYP,2014.5,0
CYP,2014.58,0
CYP,2014.67,86
CYP,2014.75,70
CYP,2014.83,24
CYP,2014.92,104
CYP,2015,77
CYP,2015.08,141
CYP,2015.17,15
