year,critical_industry,size,digital,sector,country,policy,no_encryption,detected_by,paid,type,size_bin,id,capitalization,internet_sales,internet_sales_share,ransom,pay
2015,Yes,Medium,Low,Accommodation and food service activities,USA,Yes,Yes,Organisation,No,Malware PoS attack,1,84,162,143,34.9,9.83,Refuse
2016,Yes,Small,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Malware installed,0,85,148,123,30.08,5.72,Refuse
2012,No,Small,Medium-High,"Arts, entertainment and recreation",USA,Yes,Yes,Organisation,No,Unauthorised access,0,86,65,87,21.21,6.86,Refuse
2018,Yes,Small,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Website was accessed to fraudulently order giftcards,0,87,120,64,15.63,4.92,Refuse
2012,Yes,Small,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Laptop stolen,0,88,176,109,26.7,4.78,Refuse
2018,Yes,Medium,High,Transportation storage,USA,Yes,Yes,Organisation,No,Employee data accessed,1,89,216,113,27.75,9.89,Refuse
2019,Yes,Small,Low-Medium,Human health activities,USA,Yes,,Organisation,No,Unknown,0,90,99,54,13.18,4.29,Refuse
2009,No,Small,High,Finance and insurance,USA,Yes,Yes,Organisation,No,Unencrypted hard drives stolen,0,91,80,119,29.15,4.56,Refuse
2018,Yes,Medium,Low-Medium,Human health activities,USA,Yes,,Organisation,No,Ransomware,1,92,184,148,36.2,8.62,Refuse
2018,No,Medium,Medium-High,"Wholesale, retail trade and repair",USA,Yes,,Organisation,No,Malware installed on PoS,1,93,166,191,46.76,13.57,Refuse
2011,Yes,Medium,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Laptops stolen,1,94,147,136,33.37,7.94,Refuse
2005,No,Small,Low-Medium,Education,USA,Yes,Yes,Organisation,No,Virus installed,0,95,100,121,29.65,9.14,Refuse
2018,Yes,Small,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Access gained to employee accounts,0,96,153,43,10.49,3.3,Refuse
2016,Yes,Large,High,Finance and insurance,USA,Yes,Yes,Organisation,No,Unknown attack on website,2,97,356,237,58.03,20.8,Pay
2016,Yes,Medium,Low-Medium,Human health activities,USA,Yes,No,Organisation,No,Ransomware,1,98,179,152,37.21,10.3,Refuse
2014,Yes,Small,Low-Medium,Human health activities,USA,Yes,No,Organisation,No,Laptop stolen with passcodes taken,0,99,66,128,31.38,8.79,Refuse
2018,Yes,Small,Low,Transportation storage,UK,Yes,,Organisation,No,Website compromised through modification of code,0,100,141,93,22.84,4.73,Refuse
2017,No,Medium,Medium-High,"Wholesale, retail trade and repair",USA,Yes,Yes,Organisation,No,Malware installed,1,101,165,174,42.49,11.72,Refuse
2017,No,Small,Medium-High,"Wholesale, retail trade and repair",USA,Yes,Yes,Organisation,No,Malware installed,0,102,140,80,19.54,5.04,Refuse
2017,No,Small,Low-Medium,Education,USA,Yes,Yes,Organisation,No,Spam phishing,0,103,110,113,27.76,8.31,Refuse
2013,Yes,Medium,High,Finance and insurance,USA,Yes,,Organisation,No,Physical theft of laptop,1,104,165,102,25.07,8.32,Refuse
2006,Yes,Small,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Computers were stolen,0,105,100,138,33.89,5.33,Refuse
2010,No,Small,Low-Medium,Education,USA,Yes,Yes,Organisation,No,Unknown,0,106,86,147,35.98,8.87,Refuse
2006,No,Large,Medium-High,"Arts, entertainment and recreation",USA,Yes,Yes,Organisation,No,Unknown attack on website,2,107,265,281,68.78,18.43,Refuse
2015,No,Medium,Medium-High,"Wholesale, retail trade and repair",USA,Yes,Yes,Organisation,No,Unknown attack on website,1,108,249,109,26.67,8.43,Refuse
2017,Yes,Medium,Low,"Food products, beverages and tobacco",USA,Yes,Yes,Organisation,No,Website was compromised with added code,1,109,164,122,29.92,9.27,Refuse
2014,No,Small,Low-Medium,Education,USA,Yes,Yes,Organisation,No,Network was hacked,0,110,89,64,15.67,5.84,Refuse
2017,Yes,Small,High,Finance and insurance,USA,Yes,Yes,Organisation,No,Unknown,0,111,119,87,21.27,5.66,Refuse
2018,Yes,Small,Low-Medium,Human health activities,USA,Yes,,Organisation,No,Laptop stolen,0,112,162,104,25.56,7.51,Refuse
2017,No,Small,Low-Medium,Education,USA,Yes,Yes,Organisation,No,Unknown attack on website,0,113,95,102,24.97,6.94,Refuse
2017,No,Small,Low-Medium,Education,USA,Yes,,Organisation,No,Theft of external hard drive,0,114,58,87,21.22,2.88,Refuse
2017,No,Medium,High,Legal and accounting activities,USA,Yes,Yes,Organisation,No,Unknown attack potentially involving ransomware and unauthorised access,1,115,230,159,38.94,13.41,Refuse
2017,No,Large,Low-Medium,Education,USA,Yes,Yes,Organisation,No,Computers were tampered with,2,116,280,352,86.29,25.57,Refuse
2011,Yes,Small,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Laptop stolen from vehicle,0,117,78,30,7.28,1.35,Refuse
2019,Yes,Small,High,Finance and insurance,USA,Yes,,Federal Agency,No,Unauthorised access,0,118,108,92,22.44,7.22,Refuse
2017,Yes,Small,High,Finance and insurance,USA,Yes,,Federal Agency,No,Former employee accessed the information,0,119,90,65,15.8,3.14,Refuse
2017,Yes,Large,Low-Medium,Human health activities,USA,Yes,,Organisation,No,Ransomware,2,120,307,192,47.07,14.11,Pay
2012,Yes,Large,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Physical theft of laptop (2 incidents),2,121,287,318,77.78,21.74,Refuse
2005,Yes,Small,High,Finance and insurance,USA,Yes,Yes,Credit card/bank,No,Script installed,0,122,95,101,24.73,3.93,Refuse
2018,Yes,Medium,Low,Transportation storage,UAE,Yes,Yes,Organisation,No,Unauthorised access,1,123,216,152,37.32,10.56,Refuse
2015,No,Small,High,Finance and insurance,USA,Yes,,Organisation,No,Unknown,0,124,95,75,18.33,2.28,Refuse
2015,No,Medium,Medium-High,"Wholesale, retail trade and repair",UK,Yes,Yes,Organisation,No,Unknown,1,125,173,187,45.89,12.66,Refuse
2018,Yes,Medium,Low-Medium,Human health activities,USA,Yes,No,Organisation,No,Unauthorised access resulting from phishing,1,126,182,113,27.66,11.5,Refuse
2018,Yes,Small,Low,Transportation storage,Hong Kong,Yes,Yes,Organisation,No,Unauthorised access and malware installed,0,127,59,96,23.62,6.86,Refuse
2017,No,Small,Low-Medium,Residential care and social work activities,USA,Yes,,Organisation,No,Malware installed,0,128,95,78,19.04,6.28,Refuse
2015,Yes,Large,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Physical theft,2,129,259,232,56.72,18.82,Refuse
2018,Yes,Small,Low-Medium,Human health activities,USA,Yes,No,Organisation,No,Phishing attack,0,130,126,88,21.49,4.85,Refuse
2014,Yes,Small,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Unencrypted laptop stolen,0,131,121,89,21.71,4.7,Refuse
2017,Yes,Medium,High,IT and other information services,Israel,Yes,,Organisation,No,Unknown,1,132,188,137,33.5,11.41,Refuse
2018,Yes,Medium,High,Finance and insurance,USA,Yes,Yes,Organisation,No,Hard drive stolen,1,133,206,87,21.29,7.04,Refuse
2019,No,Medium,High,Finance and insurance,USA,Yes,Yes,Organisation,No,Email phishing scam,1,134,190,199,48.62,15.48,Refuse
2012,No,Small,Low-Medium,Education,USA,Yes,,Organisation,No,Virus installed,0,135,116,140,34.24,7.81,Refuse
2014,Yes,Small,Low-Medium,Human health activities,USA,Yes,,Organisation,No,Attack on server,0,136,88,121,29.75,6.93,Refuse
2007,Yes,Medium,High,Finance and insurance,USA,Yes,No,Public,No,Employee took data.,1,137,225,183,44.69,12.77,Refuse
2017,No,Large,Medium-High,"Arts, entertainment and recreation",USA,Yes,Yes,Organisation,No,Unknown,2,138,316,247,60.5,20.57,Pay
2018,No,Small,Medium-High,"Wholesale, retail trade and repair",USA,Yes,,Organisation,No,Attack on PoS,0,139,94,93,22.78,7.44,Refuse
2018,Yes,Medium,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Hard drive stolen or lost,1,140,191,131,32.02,10.39,Refuse
2016,Yes,Small,High,Finance and insurance,USA,Yes,,Organisation,No,Unusual login activity using authorised credentials,0,141,64,63,15.48,1.3,Refuse
2017,Yes,Small,Low-Medium,Human health activities,USA,Yes,,Organisation,No,Phishing attack,0,142,98,131,32.18,6.67,Refuse
2009,Yes,Small,High,Finance and insurance,USA,Yes,No,Organisation,No,Attacker redirected customer traffic to malicious Web site,0,143,108,57,13.93,2.19,Refuse
2017,Yes,Small,Low,Accommodation and food service activities,USA,Yes,,Organisation,No,Malware installed on PoS,0,144,151,65,15.8,6.47,Refuse
2018,No,Small,Low-Medium,Education,USA,Yes,,Organisation,No,Unknown,0,145,130,77,18.78,6.22,Refuse
2006,Yes,Small,Low-Medium,Coke and refined petroleum products,Global,Yes,Yes,Organisation,No,Physical computer lost by public accounting firm,0,146,85,71,17.34,6.67,Refuse
2007,No,Small,Low-Medium,Education,USA,Yes,No,Organisation,No,Two laptops stolen,0,147,111,73,17.85,5.91,Refuse
2014,Yes,Small,Low-Medium,Human health activities,USA,Yes,No,Organisation,No,Phishing attack giving access to emails and data,0,148,66,139,33.94,8.35,Refuse
2011,Yes,Small,High,IT and other information services,China,Yes,Yes,Organisation,No,Unknown,0,149,126,97,23.71,4.79,Refuse
2017,No,Large,High,Legal and accounting activities,USA,Yes,No,Organisation,No,Account credentials were compromised,2,150,279,223,54.7,15.6,Refuse
2017,Yes,Small,Low,Accommodation and food service activities,USA,Yes,,Credit card/bank,No,Malware installed,0,151,129,79,19.23,4.72,Refuse
2004,Yes,Small,High,Finance and insurance,USA,,,,No,The attackers pretended to be legitimate users. Poor processes in place (but not necessarily poor network segmentation),0,152,164,120,29.42,6.44,Refuse
2012,Yes,Small,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Unencrypted device was stolen/lost,0,153,112,106,25.94,8.63,Refuse
2016,Yes,Small,Low,Accommodation and food service activities,USA,Yes,,Organisation,No,Malware installed,0,154,86,63,15.52,3.26,Refuse
2010,Yes,Small,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Password protected laptop stolen,0,155,102,83,20.37,3.27,Refuse
2005,Yes,Small,High,Finance and insurance,USA,Yes,Yes,Organisation,No,Taken from UPS. Not encrypted.,0,156,85,116,28.41,4.81,Refuse
2016,No,Small,Low-Medium,Education,USA,Yes,,Organisation,No,Phishing attack,0,157,75,159,38.81,10.83,Refuse
2017,Yes,Small,Medium-High,Public administration and defence,USA,Yes,,Public,No,Vendor was hacked,0,158,105,147,36.11,9.12,Refuse
2016,Yes,Small,Medium-High,Public administration and defence,USA,Yes,Yes,Federal Agency,No,Unauthorised access but unknown,0,159,73,125,30.64,7.48,Refuse
2019,Yes,Small,Medium-High,Public administration and defence,USA,Yes,,Public,No,Database made public,0,160,105,100,24.39,5.6,Refuse
2016,No,Small,Low-Medium,Education,USA,Yes,Yes,Organisation,No,Laptop stolen,0,161,111,48,11.81,5.23,Refuse
2013,No,Small,High,Advertising and other business services,USA,Yes,Yes,Organisation,No,Laptop stolen with some encryption,0,162,98,78,19.12,2.38,Refuse
2017,Yes,Medium,High,Finance and insurance,USA,Yes,Yes,Organisation,No,Phone stolen with access to email,1,163,135,142,34.87,9.32,Refuse
2006,Yes,Small,Medium-High,Public administration and defence,USA,Yes,Yes,Organisation,No,Desktop stolen from protected and secure area in Affiliated Computer Services,0,164,94,94,22.9,7.75,Refuse
2017,Yes,Large,Low-Medium,Human health activities,USA,Yes,,Organisation,No,Ransomware,2,165,320,225,55.11,16.38,Pay
2017,No,Large,Medium-High,"Wholesale, retail trade and repair",USA,Yes,Yes,Organisation,No,Website was compromised and malware was installed taking data,2,166,280,192,47.13,17.79,Refuse
2013,Yes,Small,High,Telecommunications,USA,Yes,,Organisation,No,Attack using a local file exclusion exploit (targeting CVE-2013-7091),0,167,81,115,28.09,7.2,Refuse
2012,Yes,Small,Medium-High,Public administration and defence,USA,Yes,,Organisation,No,Phishing attack,0,168,67,102,24.92,6.84,Refuse
2007,No,Small,Low-Medium,Education,USA,Yes,No,Organisation,No,Virus installed,0,169,125,102,24.91,7.05,Refuse
2016,Yes,Small,Low-Medium,Human health activities,USA,Yes,,Organisation,No,Vendor vulnerability,0,170,101,155,37.99,8.51,Refuse
2014,Yes,Small,Low-Medium,Human health activities,USA,Yes,,Organisation,No,Unknown attack considered to be through heartbleed vulnerability,0,171,125,112,27.33,5.89,Refuse
2018,No,Small,High,Administrative and support service,USA,Yes,,Organisation,No,Unknown attack as cannot access website with primary notification,0,172,63,92,22.43,6.16,Refuse
2012,Yes,Small,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Laptop not protected,0,173,105,87,21.34,3.77,Refuse
2015,Yes,Small,Low-Medium,Human health activities,USA,Yes,,Organisation,No,Unknown,0,174,120,103,25.19,8.18,Refuse
2018,Yes,Small,Low-Medium,Human health activities,USA,Yes,,Organisation,No,Phishing attack,0,175,99,76,18.51,6.71,Refuse
2017,Yes,Medium,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Laptop stolen,1,176,197,146,35.74,12.55,Refuse
2011,Yes,Small,Low-Medium,Human health activities,USA,Yes,Yes,Organisation,No,Storage tapes and laptop,0,177,94,141,34.54,5.8,Refuse
2017,Yes,Small,High,Finance and insurance,USA,Yes,,Organisation,No,Individual accessed a user account,0,178,77,91,22.37,3.6,Refuse
2009,No,Small,Low-Medium,Education,USA,Yes,Yes,Organisation,No,Laptop stolen,0,179,162,84,20.6,7.86,Refuse
2008,Yes,Small,High,Finance and insurance,USA,Yes,Yes,Organisation,No,Employee stole data and used,0,180,123,74,18.07,7.24,Refuse
2016,Yes,Small,Medium-High,Public administration and defence,USA,Yes,,Organisation,No,Phishing attack,0,181,155,128,31.36,6.7,Refuse
2015,Yes,Small,High,Telecommunications,USA,Yes,,Organisation,No,Phishing attack,0,182,102,62,15.1,5.85,Refuse
2017,No,Medium,High,Advertising and other business services,USA,Yes,,Organisation,No,Phishing attack,1,183,144,204,49.92,11.08,Refuse
2019,Yes,Medium,Low-Medium,Human health activities,USA,No,,Organisation,No,Phishing attack,1,184,228,151,37.01,10.46,Refuse
2013,No,Small,Low,Accommodation and food service activities,USA,Yes,,Organisation,No,Unauthorised access but unknown,0,185,81,86,21.04,7.45,Refuse
2012,No,Small,Low,Accommodation and food service activities,USA,Yes,Yes,Organisation,No,Malware installed,0,186,55,109,26.78,6.85,Refuse
2014,No,Large,Low-Medium,"Textiles, wearing apparel and leather",USA,Yes,,Organisation,No,Malware installed,2,187,262,256,62.76,19.91,Refuse
2012,Yes,Small,High,Finance and insurance,USA,Yes,Yes,Organisation,No,Unknown,0,188,81,97,23.69,4.76,Refuse
2007,Yes,Small,High,Finance and insurance,USA,Yes,Yes,Organisation,No,Unknown,0,189,107,108,26.33,4.55,Refuse
2007,No,Small,Medium-High,"Publishing, audiovisual and broadcasting",Japan,Yes,No,Organisation,No,An employee took data home and used it for fraudulent purposes,0,190,130,61,14.82,4.36,Refuse
2017,No,Small,Medium-High,"Arts, entertainment and recreation",USA,Yes,No,Organisation,No,Credential stuffing,0,191,108,87,21.33,4.61,Refuse
2014,Yes,Small,Low,Accommodation and food service activities,USA,Yes,Yes,Federal Agency,No,Backoff malware installed,0,192,65,49,11.97,1.77,Refuse
2013,Yes,Medium,High,IT and other information services,USA,Yes,,Organisation,No,Malware installed,1,193,178,162,39.76,10.3,Refuse
2008,Yes,Medium,Low,"Food products, beverages and tobacco",USA,Yes,Yes,Organisation,No,Malware installed,1,194,167,171,41.87,12.61,Refuse
2008,Yes,Small,High,Finance and insurance,USA,Yes,Yes,Organisation,No,Inappropriate intrusion on website to database,0,195,120,75,18.3,5.48,Refuse
2007,Yes,Large,Medium-High,Public administration and defence,USA,,Yes,Organisation,No,Physical device stolen,2,196,296,274,67,17.91,Refuse
